home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Everton,Middlesbrough,02-Mar,2,1,Paul Gerrard,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Mark Pembridge,Thomas Gravesen,Niclas Alexandersson,Li Tie,Tomasz Radzinski,Kevin Campbell,Tobias Linderoth,Wayne Rooney,Lee Carsley,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Noel Whelan,Alen Boksic,Carlos Marinelli
Sunderland,Fulham,02-Mar,0,3,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Phil Babb,Claudio Reyna,Jason McAteer,Thomas Butler,Tore Andre Flo,Marcus Stewart,Matthew Piper,David Bellion,Gavin McCann,Niall Quinn,Edwin van der Sar,Zat Knight,Alain Goma,Abdeslam Ouaddou,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet,Andrejs Stolcers,John Collins,Facundo Sava
West Bromwich Albion,Southampton,02-Mar,1,0,Russell Hoult,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Ronnie Wallwork,Sean Gregan,Andy Johnson,Jason Koumas,Lee Hughes,Jason Roberts,Larus Sigurdsson,Daniele Dichio,Scott Dobie,Paul Jones,Paul Williams,Jason Dodd,Wayne Bridge,Paul Telfer,Rory Delap,Chris Marsden,Matt Oakley,Marians Pahars,James Beattie,Brett Ormerod,Tahar El Khalej,Anders Svensson
Manchester City,Blackburn Rovers,02-Mar,2,2,Peter Schmeichel,Sylvain Distin,Sun Jihai,Mikkel Bischoff,Eyal Berkovic,Chris Shuker,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Kevin Horlock,Danny Tiatto,Shaun Goater,Brad Friedel,Martin Taylor,Henning Berg,Craig Short,David Thompson,Keith Gillespie,Garry Flitcroft,David Dunn,Dwight Yorke,Andrew Cole,Tugay Kerimoglu,Alan Mahon,Corrado Grabbi
Tottenham Hotspur,West Ham United,02-Mar,3,2,Kasey Keller,Christian Ziege,Mauricio Taricco,Anthony Gardner,Goran Bunjevcevic,Chris Perry,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Teddy Sheringham,Ben Thatcher,Gary Doherty,Steffen Iversen,David James,Gary Breen,Ian Pearce,Christian Dailly,Steve Lomas,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute,Nigel Winterburn,Michael Carrick,Jermain Defoe
Birmingham City,Aston Villa,02-Mar,3,0,Nico Vaesen,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Darryl Powell,Bryan Hughes,Geoff Horsfield,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Ozalan Alpay,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Juan Pablo Angel,Marcus Allback,Stefan Moore,Darius Vassell,Dion Dublin
Newcastle United,Sunderland,02-Mar,2,0,Shay Given,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer,Hugo Viana,Jermaine Jenas,Shola Ameobi,Thomas Sorensen,Stephen Wright,Michael Gray,Joachim Bjorklund,Claudio Reyna,Jason McAteer,Kevin Kilbane,Gavin McCann,Tore Andre Flo,Matthew Piper,Darren Williams,Niall Quinn,Marcus Stewart
Arsenal,Bolton Wanderers,02-Mar,2,1,David Seaman,Sol Campbell,Ashley Cole,Martin Keown,Lauren,Ray Parlour,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Kolo Toure,Dennis Bergkamp,Francis Jeffers,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Ivan Campo,Gareth Farrelly,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen,Stig Tofting,Jay-Jay Okocha,Michael Ricketts
Liverpool,West Bromwich Albion,02-Mar,2,0,Jerzy Dudek,Stephane Henchoz,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Milan Baros,Bruno Cheyrou,El-Hadji Diouf,Emile Heskey,Salif Diao,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Darren Moore,Sean Gregan,Andy Johnson,Jason Koumas,Jason Roberts,Scott Dobie,Lee Marshall,Daniele Dichio,Joe Murphy
Manchester United,Tottenham Hotspur,02-Mar,1,0,Fabien Barthez,John O'Shea,Rio Ferdinand,Phil Neville,Mikael Silvestre,Ryan Giggs,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Danny Pugh,Gary Neville,Diego Forlan,Kasey Keller,Dean Richards,Gary Doherty,Ben Thatcher,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Teddy Sheringham,Steffen Iversen,Rohan Ricketts,Milenko Acimovic,Les Ferdinand
Middlesbrough,Birmingham City,02-Mar,1,0,Mark Schwarzer,Tony Vidmar,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Noel Whelan,Luke Wilkshire,Alen Boksic,Nico Vaesen,Kenny Cunningham,Martin Grainger,Darren Purse,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Stan Lazaridis,Jovan Kirovski,Geoff Horsfield
Southampton,Charlton Athletic,02-Mar,0,0,Antti Niemi,Paul Williams,Wayne Bridge,Claus Lundekvam,Paul Telfer,Rory Delap,Jo Tessem,Chris Marsden,Matt Oakley,Fabrice Fernandes,Marians Pahars,Michael Svensson,Anders Svensson,James Beattie,Dean Kiely,Paul Konchesky,Luke Young,Jonathan Fortune,Richard Rufus,Chris Bart-Williams,John Robinson,Claus Jensen,Jonatan Johansson,Jason Euell,Radostin Kishishev,Kevin Lisbie,Shaun Bartlett
West Ham United,Manchester City,02-Mar,0,0,David James,Gary Breen,Scott Minto,Sebastian Schemmel,Tomas Repka,Steve Lomas,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute,Ian Pearce,Michael Carrick,Jermain Defoe,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Danny Tiatto,Chris Shuker,Darren Huckerby
Aston Villa,Everton,02-Mar,3,2,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Oyvind Leonhardsen,Dion Dublin,Stefan Moore,Richard Wright,Tony Hibbert,Alan Stubbs,David Weir,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney,Weifeng Li,Tobias Linderoth,Niclas Alexandersson
Blackburn Rovers,Leeds United,02-Mar,1,0,Brad Friedel,Martin Taylor,Henning Berg,Craig Short,Lucas Neill,David Thompson,Keith Gillespie,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Egil Ostenstad,Craig Hignett,Neil Danns,Corrado Grabbi,Paul Robinson,Danny Mills,Lucas Radebe,Jonathan Woodgate,Lee Bowyer,Eirik Bakke,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka,Gary Kelly,Stephen McPhail,Jamie McMaster
Fulham,Chelsea,02-Mar,0,0,Edwin van der Sar,Zat Knight,Alain Goma,Abdeslam Ouaddou,Pierre Wome,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet,Lee Clark,Facundo Sava,Luis Boa Morte,Carlo Cudicini,William Gallas,Mario Melchiot,Boudewijn Zenden,Jody Morris,Frank Lampard,Enrique De Lucas,Robert Huth,Gianfranco Zola,Jimmy Floyd Hasselbaink,Joe Keenan,Jesper Gronkjaer,Eidur Gudjohnsen
Leeds United,Arsenal,02-Mar,1,4,Paul Robinson,Danny Mills,Gary Kelly,Dominic Matteo,Lucas Radebe,Harry Kewell,Lee Bowyer,Eirik Bakke,Olivier Dacourt,Alan Smith,Mark Viduka,Nick Barmby,Michael Duberry,Stephen McPhail,David Seaman,Sol Campbell,Ashley Cole,Pascal Cygan,Patrick Vieira,Gilberto Silva,Kolo Toure,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Oleg Luzhny,Jermaine Pennant,Francis Jeffers
Bolton Wanderers,Southampton,02-Mar,1,1,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ivan Campo,Gareth Farrelly,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Michael Ricketts,Stig Tofting,Henrik Pedersen,Jay-Jay Okocha,Antti Niemi,Rory Delap,Wayne Bridge,Claus Lundekvam,Paul Telfer,Chris Marsden,Matt Oakley,Michael Svensson,Jo Tessem,Fabrice Fernandes,Jason Dodd,Brett Ormerod,James Beattie
Charlton Athletic,Manchester United,02-Mar,1,3,Dean Kiely,Paul Konchesky,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,John Robinson,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,Mathias Svensson,Jonatan Johansson,Radostin Kishishev,Fabien Barthez,John O'Shea,Rio Ferdinand,Phil Neville,Ryan Giggs,Paul Scholes,David Beckham,Nicky Butt,Ole Gunnar Solskjaer,Diego Forlan,Michael Stewart,Gary Neville,Ruud van Nistelrooy
Chelsea,West Ham United,02-Mar,2,3,Carlo Cudicini,William Gallas,Mario Melchiot,Boudewijn Zenden,Mario Stanic,Jody Morris,Jesper Gronkjaer,Frank Lampard,Robert Huth,Eidur Gudjohnsen,Jimmy Floyd Hasselbaink,Enrique De Lucas,Alexis Nicolas,Gianfranco Zola,David James,Gary Breen,Scott Minto,Sebastian Schemmel,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Frederic Kanoute,Nigel Winterburn,Edouard Cisse,Jermain Defoe
Everton,Fulham,02-Mar,2,0,Richard Wright,Tony Hibbert,David Weir,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Alan Stubbs,Duncan Ferguson,Wayne Rooney,Edwin van der Sar,Zat Knight,Steve Finnan,Alain Goma,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet,Andrew Melville,Luis Boa Morte,Facundo Sava
Manchester City,Liverpool,02-Mar,0,3,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Kevin Horlock,Niclas Jensen,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Karim Kerkar,Chris Shuker,Shaun Goater,Jerzy Dudek,Djimi Traore,Sami Hyypia,Danny Murphy,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Emile Heskey,Milan Baros,Bruno Cheyrou,Salif Diao,El-Hadji Diouf
Sunderland,Aston Villa,02-Mar,1,0,Thomas Sorensen,Stephen Wright,Jody Craddock,Julio Arca,Phil Babb,Claudio Reyna,Kevin Kilbane,Gavin McCann,Tore Andre Flo,Matthew Piper,David Bellion,Darren Williams,Niall Quinn,Marcus Stewart,Peter Enckelman,Steve Staunton,Gareth Barry,Mark Delaney,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin,Ulises De la Cruz,Oyvind Leonhardsen,Peter Crouch
Tottenham Hotspur,Middlesbrough,02-Mar,0,3,Kasey Keller,Dean Richards,Ben Thatcher,Christian Ziege,Goran Bunjevcevic,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Steffen Iversen,Les Ferdinand,Gary Doherty,Milenko Acimovic,Teddy Sheringham,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Jonathan Greening,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone,Carlos Marinelli,Noel Whelan,Luke Wilkshire
Birmingham City,Newcastle United,02-Mar,0,2,Nico Vaesen,Kenny Cunningham,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Darren Carter,Clinton Morrison,Stern John,Darryl Powell,Jovan Kirovski,Geoff Horsfield,Shay Given,Andy Griffin,Aaron Hughes,Nikos Dabizas,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Lomana Tresor LuaLua,Alan Shearer,Hugo Viana,Jermaine Jenas,Shola Ameobi
West Bromwich Albion,Blackburn Rovers,02-Mar,0,2,Russell Hoult,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Jason Koumas,Jason Roberts,Bob Taylor,Lee Marshall,Ronnie Wallwork,Scott Dobie,Brad Friedel,Martin Taylor,Henning Berg,Lucas Neill,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad,Andrew Cole,Keith Gillespie,Dwight Yorke
Middlesbrough,Bolton Wanderers,02-Mar,2,0,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone,Colin Cooper,Szilard Nemeth,Noel Whelan,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Ivan Campo,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen,Gareth Farrelly,Jay-Jay Okocha,Michael Ricketts
Newcastle United,West Bromwich Albion,02-Mar,2,1,Shay Given,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer,Olivier Bernard,Jermaine Jenas,Lomana Tresor LuaLua,Joe Murphy,Igor Balis,Neil Clement,Phil Gilchrist,Lee Marshall,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Ronnie Wallwork,Jason Koumas,Lee Hughes
Southampton,Manchester City,02-Mar,2,0,Antti Niemi,Jason Dodd,Wayne Bridge,Claus Lundekvam,Michael Svensson,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Matt Oakley,Marians Pahars,Jo Tessem,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka,Shaun Goater,Lucien Mettomo,Darren Huckerby
West Ham United,Birmingham City,02-Mar,1,2,David James,Gary Breen,Scott Minto,Sebastian Schemmel,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Jermain Defoe,Edouard Cisse,Ian Pearce,Titi Camara,Nico Vaesen,Kenny Cunningham,Darren Purse,Jeff Kenna,Paul Devlin,Stan Lazaridis,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John,Jovan Kirovski,Darryl Powell,Geoff Horsfield
Fulham,Charlton Athletic,02-Mar,1,0,Edwin van der Sar,Zat Knight,Abdeslam Ouaddou,Rufus Brevett,Andrew Melville,Steed Malbranque,Sean Davis,Sylvain Legwinski,Luis Boa Morte,Steve Marlet,Facundo Sava,Pierre Wome,Junichi Inamoto,Barry Hayles,Dean Kiely,Paul Konchesky,Luke Young,Chris Powell,Richard Rufus,John Robinson,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,Radostin Kishishev,Kevin Lisbie,Jonatan Johansson
Arsenal,Sunderland,02-Mar,3,1,David Seaman,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Patrick Vieira,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Kolo Toure,Edu,Francis Jeffers,Thomas Sorensen,Jody Craddock,Julio Arca,Phil Babb,Kevin Kilbane,Darren Williams,Paul Thirlwell,Gavin McCann,Tore Andre Flo,David Bellion,Thomas Myhre,Matthew Piper,Niall Quinn
Aston Villa,Leeds United,02-Mar,0,0,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin,Marcus Allback,Oyvind Leonhardsen,Juan Pablo Angel,Paul Robinson,Danny Mills,Dominic Matteo,Jonathan Woodgate,Harry Kewell,Lee Bowyer,Stephen McPhail,Eirik Bakke,Nick Barmby,Alan Smith,Teddy Lucic,Jamie McMaster,Mark Viduka
Blackburn Rovers,Tottenham Hotspur,02-Mar,1,2,Brad Friedel,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Andrew Cole,Keith Gillespie,Corrado Grabbi,Egil Ostenstad,Kasey Keller,Dean Richards,Ben Thatcher,Mauricio Taricco,Jamie Redknapp,Simon Davies,Steffen Freund,Milenko Acimovic,Robbie Keane,Teddy Sheringham,Les Ferdinand,Chris Perry,Steffen Iversen
Liverpool,Chelsea,02-Mar,1,0,Jerzy Dudek,Stephane Henchoz,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Emile Heskey,Bruno Cheyrou,Djimi Traore,Salif Diao,Milan Baros,Carlo Cudicini,William Gallas,Graeme Le Saux,Mario Melchiot,Mario Stanic,Emmanuel Petit,Jesper Gronkjaer,Frank Lampard,Gianfranco Zola,Jimmy Floyd Hasselbaink,Boudewijn Zenden,Jody Morris,Eidur Gudjohnsen
Manchester United,Everton,02-Mar,3,0,Fabien Barthez,John O'Shea,Gary Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Diego Forlan,Phil Neville,Richard Wright,Tony Hibbert,David Weir,David Unsworth,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Weifeng Li,Duncan Ferguson,Wayne Rooney
Leeds United,Liverpool,02-Mar,0,1,Paul Robinson,Danny Mills,Jonathan Woodgate,Teddy Lucic,Ian Harte,Harry Kewell,Lee Bowyer,Stephen McPhail,Eirik Bakke,Nick Barmby,Alan Smith,Michael Duberry,Olivier Dacourt,Mark Viduka,Jerzy Dudek,Djimi Traore,Sami Hyypia,Danny Murphy,John Arne Riise,Jamie Carragher,Salif Diao,Milan Baros,El-Hadji Diouf,Bruno Cheyrou,Markus Babbel,Vladimir Smicer,Michael Owen
Blackburn Rovers,Newcastle United,02-Mar,5,2,Brad Friedel,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Keith Gillespie,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad,Dwight Yorke,Tugay Kerimoglu,Corrado Grabbi,Matt Jansen,Shay Given,Andy Griffin,Aaron Hughes,Nikos Dabizas,Jermaine Jenas,Gary Speed,Laurent Robert,Nolberto Solano,Craig Bellamy,Alan Shearer,Titus Bramble,Olivier Bernard,Hugo Viana
Everton,Arsenal,02-Mar,2,1,Richard Wright,Tony Hibbert,David Weir,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Alan Stubbs,Tobias Linderoth,Wayne Rooney,David Seaman,Sol Campbell,Ashley Cole,Pascal Cygan,Patrick Vieira,Freddie Ljungberg,Gilberto Silva,Kolo Toure,Thierry Henry,Nwankwo Kanu,Edu,Sylvain Wiltord,Francis Jeffers
Fulham,Manchester United,02-Mar,1,1,Edwin van der Sar,Zat Knight,Alain Goma,Abdeslam Ouaddou,Rufus Brevett,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Steve Marlet,Facundo Sava,John Collins,Luis Boa Morte,Barry Hayles,Fabien Barthez,John O'Shea,Phil Neville,Gary Neville,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Ole Gunnar Solskjaer,Kieran Richardson,Quinton Fortune,Diego Forlan
Manchester City,Chelsea,02-Mar,0,3,Peter Schmeichel,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Goater,Shaun Wright-Phillips,Nicolas Anelka,Kevin Horlock,Matias Vuoso,Darren Huckerby,Carlo Cudicini,William Gallas,Graeme Le Saux,Mario Melchiot,Emmanuel Petit,Jody Morris,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,John Terry,Eidur Gudjohnsen,Filipe Oliveira
Sunderland,West Ham United,02-Mar,0,1,Jurgen Macho,Stephen Wright,Jody Craddock,Michael Gray,Phil Babb,Claudio Reyna,Kevin Kilbane,Gavin McCann,Kevin Phillips,Marcus Stewart,Matthew Piper,Paul Thirlwell,Niall Quinn,David Bellion,David James,Ian Pearce,Scott Minto,Christian Dailly,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Jermain Defoe,Titi Camara,Gary Breen,Edouard Cisse
West Bromwich Albion,Birmingham City,02-Mar,1,1,Russell Hoult,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Ronnie Wallwork,Sean Gregan,Andy Johnson,Lee Hughes,Jason Roberts,James Chambers,Jason Koumas,Scott Dobie,Nico Vaesen,Olivier Tebily,Jeff Kenna,Steve Vickers,Stan Lazaridis,Darryl Powell,Robbie Savage,Darren Carter,Clinton Morrison,Stern John,Bryan Hughes,Geoff Horsfield,Curtis Woodhouse
Charlton Athletic,Middlesbrough,02-Mar,1,0,Dean Kiely,Chris Powell,Mark Fish,Richard Rufus,Gary Rowett,John Robinson,Scott Parker,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,Jonatan Johansson,Radostin Kishishev,Luke Young,Mark Schwarzer,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Jonathan Greening,George Boateng,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Colin Cooper,Noel Whelan,Carlos Marinelli
Tottenham Hotspur,Bolton Wanderers,02-Mar,3,1,Kasey Keller,Dean Richards,Goran Bunjevcevic,Chris Perry,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Steffen Freund,Robbie Keane,Teddy Sheringham,Milenko Acimovic,Steffen Iversen,Gustavo Poyet,Jussi Jaaskelainen,Anthony Barness,Simon Charlton,Mike Whitlow,Ivan Campo,Ricardo Gardner,Gareth Farrelly,Kevin Nolan,Youri Djorkaeff,Michael Ricketts,Chris Armstrong,Dean Holdsworth,Jay-Jay Okocha
Aston Villa,Southampton,02-Mar,0,1,Peter Enckelman,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ozalan Alpay,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin,Moustapha Hadji,Stefan Postma,Stefan Moore,Antti Niemi,Jason Dodd,Wayne Bridge,Claus Lundekvam,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Paul Williams,Paul Telfer,Jo Tessem
Fulham,West Ham United,02-Mar,0,1,Edwin van der Sar,Zat Knight,Andrew Melville,Pierre Wome,Junichi Inamoto,Steed Malbranque,Steve Finnan,Sylvain Legwinski,Barry Hayles,Luis Boa Morte,Steve Marlet,John Collins,Martin Djetou,Andrejs Stolcers,David James,Ian Pearce,Scott Minto,Christian Dailly,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Jermain Defoe,Nigel Winterburn,Titi Camara,Richard Garcia
Arsenal,Blackburn Rovers,02-Mar,1,2,David Seaman,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Edu,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Kolo Toure,Robert Pires,Dennis Bergkamp,Brad Friedel,Martin Taylor,Henning Berg,Lucas Neill,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad,Dwight Yorke,Keith Gillespie,Matt Jansen,Craig Short
Birmingham City,Manchester City,02-Mar,0,2,Nico Vaesen,Olivier Tebily,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Stan Lazaridis,Darryl Powell,Robbie Savage,Clinton Morrison,Stern John,Bryan Hughes,Geoff Horsfield,Jovan Kirovski,Carlo Nash,Steve Howey,Richard Dunne,Sylvain Distin,Eyal Berkovic,Danny Tiatto,Niclas Jensen,Marc-Vivien Foe,Shaun Goater,Nicolas Anelka,Shaun Wright-Phillips,Kevin Horlock,Darren Huckerby
Chelsea,West Bromwich Albion,02-Mar,2,0,Carlo Cudicini,William Gallas,Graeme Le Saux,Mario Melchiot,Marcel Desailly,Emmanuel Petit,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Filipe Oliveira,Jody Morris,John Terry,Russell Hoult,Igor Balis,Neil Clement,Phil Gilchrist,Lee Marshall,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Jason Koumas,Lee Hughes,Larus Sigurdsson
Liverpool,Tottenham Hotspur,02-Mar,2,1,Jerzy Dudek,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Salif Diao,Michael Owen,El-Hadji Diouf,Bruno Cheyrou,Vladimir Smicer,Milan Baros,Kasey Keller,Dean Richards,Goran Bunjevcevic,Chris Perry,Jamie Redknapp,Gustavo Poyet,Simon Davies,Steffen Freund,Robbie Keane,Teddy Sheringham,Matthew Etherington,Milenko Acimovic,Les Ferdinand
Manchester United,Aston Villa,02-Mar,1,1,Fabien Barthez,Rio Ferdinand,Phil Neville,Gary Neville,Mikael Silvestre,Laurent Blanc,Paul Scholes,Juan Sebastian Veron,David Beckham,Ole Gunnar Solskjaer,Diego Forlan,Lee Roche,Kieran Richardson,Quinton Fortune,Peter Enckelman,Steve Staunton,Gareth Barry,Mark Delaney,Olof Mellberg,Mark Kinsella,Oyvind Leonhardsen,Ian Taylor,Dion Dublin,Stefan Moore,Thomas Hitzlsperger,Peter Crouch,Juan Pablo Angel
Middlesbrough,Leeds United,02-Mar,2,2,Mark Schwarzer,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Jonathan Greening,Stuart Parnaby,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone,Carlos Marinelli,Noel Whelan,Szilard Nemeth,Paul Robinson,Danny Mills,Lucas Radebe,Jonathan Woodgate,Harry Kewell,Lee Bowyer,Stephen McPhail,Nick Barmby,Alan Smith,Mark Viduka,Olivier Dacourt,Eirik Bakke,Michael Bridges
