home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Manchester Utd,Tottenham,2002-2003 Barclays Premier League,1,0,Fabien Barthez,Kasey Keller,John O'Shea,Rio Ferdinand,Phil Neville,Mikael Silvestre,Ryan Giggs,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Ole Gunnar Solskjaer,Dean Richards,Gary Doherty,Ben Thatcher,Goran Bunjevcevic,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Teddy Sheringham,Steffen Iversen
Middlesbrough,Birmingham City,2002-2003 Barclays Premier League,1,0,Mark Schwarzer,Nico Vaesen,Tony Vidmar,Ugo Ehiogu,Robbie Stockdale,Colin Cooper,Franck Queudrue,Jonathan Greening,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone,Kenny Cunningham,Martin Grainger,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John
Southampton,Charlton Ath,2002-2003 Barclays Premier League,0,0,Antti Niemi,Dean Kiely,Paul Williams,Wayne Bridge,Claus Lundekvam,Paul Telfer,Rory Delap,Jo Tessem,Chris Marsden,Matt Oakley,Fabrice Fernandes,Marians Pahars,Paul Konchesky,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,Chris Bart-Williams,John Robinson,Claus Jensen,Jonatan Johansson,Jason Euell
West Ham,Manchester City,2002-2003 Barclays Premier League,0,0,David James,Peter Schmeichel,Gary Breen,Scott Minto,Sebastian Schemmel,Tomas Repka,Steve Lomas,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Frederic Kanoute,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka
Aston Villa,Everton,2002-2003 Barclays Premier League,3,2,Peter Enckelman,Richard Wright,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Peter Crouch,Darius Vassell,Tony Hibbert,Alan Stubbs,David Weir,David Unsworth,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Wayne Rooney
Blackburn,Leeds United,2002-2003 Barclays Premier League,1,0,Brad Friedel,Paul Robinson,Martin Taylor,Henning Berg,Craig Short,Lucas Neill,David Thompson,Keith Gillespie,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Egil Ostenstad,Danny Mills,Lucas Radebe,Jonathan Woodgate,Ian Harte,Lee Bowyer,Eirik Bakke,Olivier Dacourt,Nick Barmby,Alan Smith,Mark Viduka
Fulham,Chelsea,2002-2003 Barclays Premier League,0,0,Edwin van der Sar,Carlo Cudicini,Zat Knight,Alain Goma,Abdeslam Ouaddou,Pierre Wome,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet,William Gallas,Mario Melchiot,Boudewijn Zenden,Mario Stanic,Jody Morris,Frank Lampard,Enrique De Lucas,Robert Huth,Gianfranco Zola,Jimmy Floyd Hasselbaink
Leeds United,Arsenal,2002-2003 Barclays Premier League,1,4,Paul Robinson,David Seaman,Danny Mills,Gary Kelly,Dominic Matteo,Lucas Radebe,Harry Kewell,Lee Bowyer,Eirik Bakke,Olivier Dacourt,Alan Smith,Mark Viduka,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Patrick Vieira,Gilberto Silva,Kolo Toure,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu
Bolton,Southampton,2002-2003 Barclays Premier League,1,1,Jussi Jaaskelainen,Antti Niemi,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ivan Campo,Gareth Farrelly,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Michael Ricketts,Rory Delap,Wayne Bridge,Claus Lundekvam,Anders Svensson,Paul Telfer,Chris Marsden,Matt Oakley,Michael Svensson,Jo Tessem,Fabrice Fernandes
Charlton Ath,Manchester Utd,2002-2003 Barclays Premier League,1,3,Dean Kiely,Fabien Barthez,Paul Konchesky,Luke Young,Jonathan Fortune,Chris Powell,Richard Rufus,John Robinson,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,John O'Shea,Rio Ferdinand,Phil Neville,Laurent Blanc,Ryan Giggs,Paul Scholes,David Beckham,Nicky Butt,Ole Gunnar Solskjaer,Diego Forlan
Chelsea,West Ham,2002-2003 Barclays Premier League,2,3,Carlo Cudicini,David James,William Gallas,Mario Melchiot,Boudewijn Zenden,Mario Stanic,Jody Morris,Jesper Gronkjaer,Frank Lampard,Robert Huth,Eidur Gudjohnsen,Jimmy Floyd Hasselbaink,Gary Breen,Scott Minto,Sebastian Schemmel,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Frederic Kanoute
Everton,Fulham,2002-2003 Barclays Premier League,2,0,Richard Wright,Edwin van der Sar,Tony Hibbert,David Weir,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Zat Knight,Steve Finnan,Alain Goma,Pierre Wome,Junichi Inamoto,Steed Malbranque,Sean Davis,Sylvain Legwinski,Barry Hayles,Steve Marlet
Manchester City,Liverpool,2002-2003 Barclays Premier League,0,3,Peter Schmeichel,Jerzy Dudek,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Kevin Horlock,Niclas Jensen,Marc-Vivien Foe,Shaun Wright-Phillips,Darren Huckerby,Nicolas Anelka,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Emile Heskey,Milan Baros
Sunderland,Aston Villa,2002-2003 Barclays Premier League,1,0,Thomas Sorensen,Peter Enckelman,Stephen Wright,Jody Craddock,Julio Arca,Phil Babb,Claudio Reyna,Kevin Kilbane,Gavin McCann,Tore Andre Flo,Matthew Piper,David Bellion,Steve Staunton,Gareth Barry,Mark Delaney,Jlloyd Samuel,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin
Tottenham,Middlesbrough,2002-2003 Barclays Premier League,0,3,Kasey Keller,Mark Schwarzer,Dean Richards,Ben Thatcher,Christian Ziege,Goran Bunjevcevic,Jamie Redknapp,Matthew Etherington,Simon Davies,Robbie Keane,Steffen Iversen,Les Ferdinand,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone
Birmingham City,Newcastle Utd,2002-2003 Barclays Premier League,0,2,Nico Vaesen,Shay Given,Kenny Cunningham,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Damien Johnson,Robbie Savage,Darren Carter,Clinton Morrison,Stern John,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Lomana Tresor LuaLua,Alan Shearer
West Brom,Blackburn,2002-2003 Barclays Premier League,0,2,Russell Hoult,Brad Friedel,Igor Balis,Larus Sigurdsson,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Jason Koumas,Jason Roberts,Bob Taylor,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad
Middlesbrough,Bolton,2002-2003 Barclays Premier League,2,0,Mark Schwarzer,Jussi Jaaskelainen,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ivan Campo,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Dean Holdsworth,Henrik Pedersen
Newcastle Utd,West Brom,2002-2003 Barclays Premier League,2,1,Shay Given,Joe Murphy,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Gary Speed,Laurent Robert,Nolberto Solano,Kieron Courtney Dyer,Craig Bellamy,Alan Shearer,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie
Southampton,Manchester City,2002-2003 Barclays Premier League,2,0,Antti Niemi,Peter Schmeichel,Jason Dodd,Wayne Bridge,Claus Lundekvam,Michael Svensson,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Kevin Horlock,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Wright-Phillips,Nicolas Anelka
West Ham,Birmingham City,2002-2003 Barclays Premier League,1,2,David James,Nico Vaesen,Gary Breen,Scott Minto,Sebastian Schemmel,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Jermain Defoe,Kenny Cunningham,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Stan Lazaridis,Damien Johnson,Robbie Savage,Clinton Morrison,Stern John
Fulham,Charlton Ath,2002-2003 Barclays Premier League,1,0,Edwin van der Sar,Dean Kiely,Zat Knight,Abdeslam Ouaddou,Rufus Brevett,Andrew Melville,Steed Malbranque,Sean Davis,Sylvain Legwinski,Luis Boa Morte,Steve Marlet,Facundo Sava,Paul Konchesky,Luke Young,Chris Powell,Mark Fish,Richard Rufus,John Robinson,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell
Arsenal,Sunderland,2002-2003 Barclays Premier League,3,1,David Seaman,Thomas Sorensen,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Patrick Vieira,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Jody Craddock,Julio Arca,Phil Babb,Claudio Reyna,Kevin Kilbane,Darren Williams,Paul Thirlwell,Gavin McCann,Tore Andre Flo,David Bellion
Aston Villa,Leeds United,2002-2003 Barclays Premier League,0,0,Peter Enckelman,Paul Robinson,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ronny Johnsen,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin,Danny Mills,Dominic Matteo,Jonathan Woodgate,Ian Harte,Harry Kewell,Lee Bowyer,Stephen McPhail,Eirik Bakke,Nick Barmby,Alan Smith
Blackburn,Tottenham,2002-2003 Barclays Premier League,1,2,Brad Friedel,Kasey Keller,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Damien Duff,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Andrew Cole,Dean Richards,Ben Thatcher,Mauricio Taricco,Goran Bunjevcevic,Jamie Redknapp,Simon Davies,Steffen Freund,Milenko Acimovic,Robbie Keane,Teddy Sheringham
Liverpool,Chelsea,2002-2003 Barclays Premier League,1,0,Jerzy Dudek,Carlo Cudicini,Stephane Henchoz,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Michael Owen,Emile Heskey,Bruno Cheyrou,William Gallas,Graeme Le Saux,Mario Melchiot,Marcel Desailly,Mario Stanic,Emmanuel Petit,Jesper Gronkjaer,Frank Lampard,Gianfranco Zola,Jimmy Floyd Hasselbaink
Manchester Utd,Everton,2002-2003 Barclays Premier League,3,0,Fabien Barthez,Richard Wright,John O'Shea,Gary Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Nicky Butt,Ruud van Nistelrooy,Tony Hibbert,David Weir,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell
Leeds United,Liverpool,2002-2003 Barclays Premier League,0,1,Paul Robinson,Jerzy Dudek,Danny Mills,Jonathan Woodgate,Teddy Lucic,Ian Harte,Harry Kewell,Lee Bowyer,Stephen McPhail,Eirik Bakke,Nick Barmby,Alan Smith,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,John Arne Riise,Jamie Carragher,Salif Diao,Milan Baros,El-Hadji Diouf,Bruno Cheyrou
Blackburn,Newcastle Utd,2002-2003 Barclays Premier League,5,2,Brad Friedel,Shay Given,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Keith Gillespie,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad,Dwight Yorke,Andy Griffin,Aaron Hughes,Nikos Dabizas,Andrew O'Brien,Jermaine Jenas,Gary Speed,Laurent Robert,Nolberto Solano,Craig Bellamy,Alan Shearer
Everton,Arsenal,2002-2003 Barclays Premier League,2,1,Richard Wright,David Seaman,Tony Hibbert,David Weir,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Thomas Gravesen,Li Tie,Tomasz Radzinski,Kevin Campbell,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Patrick Vieira,Freddie Ljungberg,Gilberto Silva,Kolo Toure,Thierry Henry,Nwankwo Kanu
Fulham,Manchester Utd,2002-2003 Barclays Premier League,1,1,Edwin van der Sar,Fabien Barthez,Zat Knight,Alain Goma,Abdeslam Ouaddou,Rufus Brevett,Steed Malbranque,Steve Finnan,Sean Davis,Sylvain Legwinski,Steve Marlet,Facundo Sava,John O'Shea,Phil Neville,Gary Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Ole Gunnar Solskjaer
Manchester City,Chelsea,2002-2003 Barclays Premier League,0,3,Peter Schmeichel,Carlo Cudicini,Steve Howey,Sylvain Distin,Sun Jihai,Eyal Berkovic,Niclas Jensen,Ali Benarbia,Marc-Vivien Foe,Shaun Goater,Shaun Wright-Phillips,Nicolas Anelka,William Gallas,Graeme Le Saux,Mario Melchiot,Marcel Desailly,Emmanuel Petit,Jody Morris,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink
Sunderland,West Ham,2002-2003 Barclays Premier League,0,1,Jurgen Macho,David James,Stephen Wright,Jody Craddock,Michael Gray,Phil Babb,Claudio Reyna,Kevin Kilbane,Gavin McCann,Kevin Phillips,Marcus Stewart,Matthew Piper,Ian Pearce,Scott Minto,Christian Dailly,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Jermain Defoe
West Brom,Birmingham City,2002-2003 Barclays Premier League,1,1,Russell Hoult,Nico Vaesen,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Ronnie Wallwork,Sean Gregan,Andy Johnson,Lee Hughes,Jason Roberts,Olivier Tebily,Jeff Kenna,Steve Vickers,Paul Devlin,Stan Lazaridis,Darryl Powell,Robbie Savage,Darren Carter,Clinton Morrison,Stern John
Charlton Ath,Middlesbrough,2002-2003 Barclays Premier League,1,0,Dean Kiely,Mark Schwarzer,Chris Powell,Mark Fish,Richard Rufus,Gary Rowett,John Robinson,Scott Parker,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,Ugo Ehiogu,Robbie Stockdale,Gareth Southgate,Franck Queudrue,Jonathan Greening,George Boateng,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone
Tottenham,Bolton,2002-2003 Barclays Premier League,3,1,Kasey Keller,Jussi Jaaskelainen,Dean Richards,Goran Bunjevcevic,Chris Perry,Stephen Carr,Jamie Redknapp,Matthew Etherington,Simon Davies,Steffen Freund,Robbie Keane,Teddy Sheringham,Anthony Barness,Simon Charlton,Mike Whitlow,Gudni Bergsson,Ivan Campo,Ricardo Gardner,Gareth Farrelly,Kevin Nolan,Youri Djorkaeff,Michael Ricketts
Aston Villa,Southampton,2002-2003 Barclays Premier League,0,1,Peter Enckelman,Antti Niemi,Ulises De la Cruz,Steve Staunton,Gareth Barry,Jlloyd Samuel,Ozalan Alpay,Olof Mellberg,Mark Kinsella,Lee Hendrie,Darius Vassell,Dion Dublin,Jason Dodd,Wayne Bridge,Claus Lundekvam,Michael Svensson,Rory Delap,Chris Marsden,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie
Fulham,West Ham,2002-2003 Barclays Premier League,0,1,Edwin van der Sar,David James,Zat Knight,Andrew Melville,Pierre Wome,Junichi Inamoto,Steed Malbranque,Steve Finnan,Sylvain Legwinski,Barry Hayles,Luis Boa Morte,Steve Marlet,Ian Pearce,Scott Minto,Christian Dailly,Tomas Repka,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Paolo Di Canio,Jermain Defoe
Arsenal,Blackburn,2002-2003 Barclays Premier League,1,2,David Seaman,Brad Friedel,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Edu,Freddie Ljungberg,Gilberto Silva,Sylvain Wiltord,Thierry Henry,Nwankwo Kanu,Martin Taylor,Henning Berg,Lucas Neill,David Thompson,Tugay Kerimoglu,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Egil Ostenstad,Dwight Yorke
Birmingham City,Manchester City,2002-2003 Barclays Premier League,0,2,Nico Vaesen,Carlo Nash,Olivier Tebily,Darren Purse,Jeff Kenna,Aliou Cisse,Paul Devlin,Stan Lazaridis,Darryl Powell,Robbie Savage,Clinton Morrison,Stern John,Steve Howey,Richard Dunne,Sylvain Distin,Sun Jihai,Eyal Berkovic,Danny Tiatto,Niclas Jensen,Marc-Vivien Foe,Shaun Goater,Nicolas Anelka
Chelsea,West Brom,2002-2003 Barclays Premier League,2,0,Carlo Cudicini,Russell Hoult,William Gallas,Graeme Le Saux,Mario Melchiot,Marcel Desailly,Emmanuel Petit,Jesper Gronkjaer,Frank Lampard,Enrique De Lucas,Gianfranco Zola,Jimmy Floyd Hasselbaink,Igor Balis,Neil Clement,Phil Gilchrist,Darren Moore,Lee Marshall,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie
Liverpool,Tottenham,2002-2003 Barclays Premier League,2,1,Jerzy Dudek,Kasey Keller,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,Steven Gerrard,John Arne Riise,Jamie Carragher,Salif Diao,Michael Owen,El-Hadji Diouf,Dean Richards,Goran Bunjevcevic,Chris Perry,Stephen Carr,Jamie Redknapp,Gustavo Poyet,Simon Davies,Steffen Freund,Robbie Keane,Teddy Sheringham
Manchester Utd,Aston Villa,2002-2003 Barclays Premier League,1,1,Fabien Barthez,Peter Enckelman,Rio Ferdinand,Phil Neville,Gary Neville,Mikael Silvestre,Laurent Blanc,Paul Scholes,Juan Sebastian Veron,David Beckham,Ole Gunnar Solskjaer,Diego Forlan,Steve Staunton,Gareth Barry,Mark Delaney,Jlloyd Samuel,Olof Mellberg,Mark Kinsella,Oyvind Leonhardsen,Ian Taylor,Dion Dublin,Stefan Moore
Middlesbrough,Leeds United,2002-2003 Barclays Premier League,2,2,Mark Schwarzer,Paul Robinson,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Jonathan Greening,Stuart Parnaby,George Boateng,Geremi,Alen Boksic,Joseph Desire Job,Massimo Maccarone,Danny Mills,Lucas Radebe,Jonathan Woodgate,Teddy Lucic,Harry Kewell,Lee Bowyer,Stephen McPhail,Nick Barmby,Alan Smith,Mark Viduka
Newcastle Utd,Charlton Ath,2002-2003 Barclays Premier League,2,1,Shay Given,Dean Kiely,Titus Bramble,Andy Griffin,Aaron Hughes,Andrew O'Brien,Jermaine Jenas,Gary Speed,Laurent Robert,Nolberto Solano,Shola Ameobi,Alan Shearer,Luke Young,Mark Fish,Richard Rufus,Gary Rowett,John Robinson,Scott Parker,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell
Southampton,Fulham,2002-2003 Barclays Premier League,4,2,Antti Niemi,Edwin van der Sar,Jason Dodd,Wayne Bridge,Claus Lundekvam,Michael Svensson,Chris Marsden,Matt Oakley,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie,Zat Knight,Alain Goma,Rufus Brevett,Martin Djetou,Steed Malbranque,Steve Finnan,Lee Clark,Sylvain Legwinski,Luis Boa Morte,Steve Marlet
West Ham,Everton,2002-2003 Barclays Premier League,0,1,David James,Richard Wright,Ian Pearce,Scott Minto,Christian Dailly,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Paolo Di Canio,Jermain Defoe,Tony Hibbert,Alan Stubbs,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Tobias Linderoth,Li Tie,Tomasz Radzinski,Kevin Campbell
Bolton,Sunderland,2002-2003 Barclays Premier League,1,1,Jussi Jaaskelainen,Thomas Myhre,Mike Whitlow,Bruno N'Gotty,Bernard Mendy,Ivan Campo,Ricardo Gardner,Gareth Farrelly,Kevin Nolan,Per Frandsen,Youri Djorkaeff,Michael Ricketts,Stephen Wright,Jody Craddock,George McCartney,Michael Gray,Phil Babb,Claudio Reyna,Kevin Kilbane,Gavin McCann,Kevin Phillips,David Bellion
Birmingham City,Bolton,2002-2003 Barclays Premier League,3,1,Nico Vaesen,Jussi Jaaskelainen,Kenny Cunningham,Darren Purse,Jeff Kenna,Aliou Cisse,Mathew Sadler,Paul Devlin,Stan Lazaridis,Robbie Savage,Clinton Morrison,Stern John,Mike Whitlow,Bruno N'Gotty,Bernard Mendy,Ivan Campo,Ricardo Gardner,Gareth Farrelly,Per Frandsen,Jay-Jay Okocha,Youri Djorkaeff,Michael Ricketts
Liverpool,West Ham,2002-2003 Barclays Premier League,2,0,Jerzy Dudek,David James,Djimi Traore,Sami Hyypia,Danny Murphy,Dietmar Hamann,John Arne Riise,Jamie Carragher,Vladimir Smicer,Salif Diao,Michael Owen,Emile Heskey,Ian Pearce,Scott Minto,Christian Dailly,Tomas Repka,Steve Lomas,Michael Carrick,Joe Cole,Trevor Sinclair,Edouard Cisse,Jermain Defoe
Manchester Utd,Southampton,2002-2003 Barclays Premier League,2,1,Fabien Barthez,Antti Niemi,Rio Ferdinand,Phil Neville,Gary Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,David Beckham,Ruud van Nistelrooy,Jason Dodd,Wayne Bridge,Claus Lundekvam,Michael Svensson,Chris Marsden,Matt Oakley,Fabrice Fernandes,Anders Svensson,Brett Ormerod,James Beattie
West Brom,Manchester City,2002-2003 Barclays Premier League,1,2,Russell Hoult,Carlo Nash,Igor Balis,Adam Chambers,Neil Clement,Phil Gilchrist,Darren Moore,Sean Gregan,Andy Johnson,Derek McInnes,Jason Roberts,Scott Dobie,Steve Howey,Richard Dunne,Sylvain Distin,Sun Jihai,Eyal Berkovic,Danny Tiatto,Niclas Jensen,Marc-Vivien Foe,Shaun Goater,Nicolas Anelka
Fulham,Arsenal,2002-2003 Barclays Premier League,0,1,Edwin van der Sar,David Seaman,Alain Goma,Abdeslam Ouaddou,Rufus Brevett,Andrew Melville,Martin Djetou,Steed Malbranque,Steve Finnan,Sylvain Legwinski,Luis Boa Morte,Steve Marlet,Sol Campbell,Ashley Cole,Pascal Cygan,Lauren,Edu,Freddie Ljungberg,Gilberto Silva,Dennis Bergkamp,Sylvain Wiltord,Thierry Henry
Tottenham,Chelsea,2002-2003 Barclays Premier League,0,0,Kasey Keller,Carlo Cudicini,Dean Richards,Goran Bunjevcevic,Chris Perry,Stephen Carr,Jamie Redknapp,Gustavo Poyet,Simon Davies,Steffen Freund,Robbie Keane,Teddy Sheringham,William Gallas,Mario Melchiot,Celestine Babayaro,Marcel Desailly,Emmanuel Petit,Jody Morris,Gianfranco Zola,Frank Lampard,Enrique De Lucas,Jimmy Floyd Hasselbaink
Blackburn,Aston Villa,2002-2003 Barclays Premier League,0,0,Brad Friedel,Peter Enckelman,Martin Taylor,Craig Short,Lucas Neill,David Thompson,Damien Duff,Garry Flitcroft,David Dunn,Nils-Eric Johansson,Dwight Yorke,Andrew Cole,Steve Staunton,Gareth Barry,Mark Delaney,Jlloyd Samuel,Olof Mellberg,Mark Kinsella,Oyvind Leonhardsen,Ian Taylor,Juan Pablo Angel,Dion Dublin
Leeds United,Everton,2002-2003 Barclays Premier League,0,1,Paul Robinson,Richard Wright,Danny Mills,Lucas Radebe,Jonathan Woodgate,Teddy Lucic,Harry Kewell,Lee Bowyer,Eirik Bakke,Nick Barmby,Alan Smith,Mark Viduka,Tony Hibbert,Alan Stubbs,David Unsworth,Joseph Yobo,Lee Carsley,Mark Pembridge,Tobias Linderoth,Li Tie,Tomasz Radzinski,Kevin Campbell
Charlton Ath,Sunderland,2002-2003 Barclays Premier League,1,1,Dean Kiely,Jurgen Macho,Chris Powell,Mark Fish,Richard Rufus,Gary Rowett,John Robinson,Scott Parker,Claus Jensen,Robbie Mustoe,Shaun Bartlett,Jason Euell,Stephen Wright,Jody Craddock,Michael Gray,Joachim Bjorklund,Phil Babb,Kevin Kilbane,Paul Thirlwell,Gavin McCann,Tore Andre Flo,Kevin Phillips
Newcastle Utd,Middlesbrough,2002-2003 Barclays Premier League,2,0,Shay Given,Mark Schwarzer,Steven Caldwell,Andy Griffin,Aaron Hughes,Olivier Bernard,Jermaine Jenas,Gary Speed,Laurent Robert,Nolberto Solano,Shola Ameobi,Alan Shearer,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Jonathan Greening,Stuart Parnaby,George Boateng,Geremi,Joseph Desire Job,Szilard Nemeth,Massimo Maccarone
Manchester City,Manchester Utd,2002-2003 Barclays Premier League,3,1,Peter Schmeichel,Fabien Barthez,Gerard Wiekens,Richard Dunne,Lucien Mettomo,Sun Jihai,Eyal Berkovic,Danny Tiatto,Niclas Jensen,Marc-Vivien Foe,Shaun Goater,Nicolas Anelka,Rio Ferdinand,Phil Neville,Gary Neville,Mikael Silvestre,Laurent Blanc,Ryan Giggs,Paul Scholes,Juan Sebastian Veron,Ruud van Nistelrooy,Ole Gunnar Solskjaer
